中国	China
奥尔顿	Alton
布卢明顿	Bloomington
丹维尓	Dan Weier
迪卡尔布	Di Kalb
迪凯持	Kaidi holding
东圣路易斯	East Saint Louis
厄巴纳-香槟	El Bana.
盖尔斯堡	Galesburg
卡本代尔	Caban Dyer
罗克艾兰	Rock Island
罗克福德	Rockford
诺黙尔	Nuo Mo Er
皮奥里亚	Peoria
森特勒利亚	Sentele Leah
沃其根	Waukegan
芝加哥	Chicago
印第安那	Indiana
埃文斯维尔	Evans Weil
韦恩堡	Wei Enbao
印第安纳波利斯	Indianapolis
犹他	Utah
奥格登	Ogden
雷登	Lei Deng
欧仁	Oren
帕克城	Pa Kecheng
普罗沃	Provo
圣乔治	St. George's
西瓦利城	West Valley City
盐湖城	The city of Saline Lake
佐治亚	Georgia
奥古斯塔	Augusta
梅肯	Macon
沙瓦纳	Savannah
亚特兰大	Atlanta
美属萨摩亚	American Samoa
阿纳	Ana
阿图阿	Atua
艾加伊勒泰	Aiga-i-le-tai
法塞莱莱阿加	Facey Hlalele Aga
加盖福毛加	Fagafaga Guy Phu Mao Fagafaga
加加埃毛加	GaGa E Mao Fagafaga
帕劳利	Palauli
萨图帕伊泰阿	Satu Pai Tai A
萨瓦伊岛	Savoy Island
图阿马萨加	Tuamasaga
瓦奥福诺蒂	Waugh Fono Siti
韦西加诺	Vee Si Cano
乌波卢岛	Upolu Island
美属外岛	The outer islands
蒙古	Mongolia
巴彦洪格尔	Ba Ian Hunger
巴彦乌勒盖	Bayanwulegai
布尔干	Burgan
达尔汗乌勒	Darhan Ule
东方	The East
东戈壁	Dornogovi
鄂尔浑	Orhon
戈壁阿尔泰	The Gobi Altai
戈壁苏木贝尔	Gebisumubeier
后杭爱	Arkhangai
科布多	Kobdo
肯特	Kent
库苏古尔	Cu Sugule
南戈壁	South Gobi
前杭爱	Vrkhangai
色楞格	Selenge
苏赫巴托尔	Sukhbaatar
乌布苏	UVs
乌兰巴托市	The city of Ulan Bator
扎布汗	Zabkhan
中戈壁	In Gobi
蒙特塞拉特	Montserrat
孟加拉	Bangladesh
达卡	Dhaka
吉大港	Chittagong
库尔纳	Qurna
密克罗尼西亚	Micronesia
秘鲁	Peru
阿雷基帕	Arequipa
阿普里马克	A Primack
阿亚库乔	Ayacucho
安卡什	Ancash
胡利亚卡	Ucayali
胡宁	Hu Ning
卡哈马卡	Cajamarca
卡亚俄	Callao
库斯科	Cuzco
拉利伯塔德	Raleb Tad
兰巴耶克	Lan Bajak
利马	Lima
洛雷托	Loreto
马德雷德迪奥斯	Mildned Dios
莫克瓜	Moquegua
帕斯科	Pasco
皮乌拉	Piura
普诺	Puno
钦博特	Chimbot
钦查阿尔塔	Chincha Alta
圣马丁	Saint Martin
苏拉纳	Surana
塔克纳	Tacna
通贝斯	Tumbes
瓦努科	Huanuco
万卡维利卡	Vanko Velicka
乌卡亚利	Uka Ali
伊卡	ICA
缅甸	Burma
勃固省	Bago Province
掸邦	Shan
德林达依省	Tanintharyi Province
克伦邦	Karen
克钦邦	Ke Qinbang
克耶邦	Kyebon
马圭省	Magway
曼德勒省	Mandalay Province
孟邦	Meng Bang
钦邦	Chin
若开邦	Ruo Kaibang
实皆省	Sagaing Province
仰光省	Yangon Province
伊洛瓦底省	The Irrawaddy
摩尔多瓦	Moldova
摩洛哥	Morocco
丹吉尔	Tangier
得土安	Tetuan
非斯	Fez
卡萨布兰卡	Casablanca
拉巴特	Labatt
马拉喀什	Marrakech
梅克内斯	Meknes
乌季达	Oujda
西撒哈拉	Western Sahara
摩纳哥	Monaco
莫桑比克	Mozambique
墨西哥	Mexico
阿瓜斯卡连斯特	Aguascalientes NTE
阿卡普尔科	Acapulco
埃莫西约	Hermosillo
埃佩切	Aipeiqie
奥夫雷贡城	Auvray Obregon
奥里萨巴	Ori Saba
巴利城	Barre town
巴亚尔塔港	Puerto Vallarta
比利亚埃尔莫萨	Billy Yael Moosa
波萨里卡	Poza Rica
蒂华纳	Tijuana
杜兰戈	Durango
恩塞纳达	Ensenada
瓜达拉哈拉	Guadalajara
瓜纳华托	Guanajuato
哈拉帕	Harappa
华雷斯	Ciudad Juarez
华雷斯港	Puerto Juarez
卡门	Carmen
科利马	Colima
克雷塔罗	Queretaro
库埃纳瓦卡	Coue Nava C
库利阿坎	Cooley Akan
夸察夸拉克斯	Kuachakualakesi
莱昂	Leon
雷诺萨	Reynosa
洛斯莫奇斯	Los Mo Kiss
马萨特兰	Mazatlan
马塔莫罗斯	Matamoros
梅里达	Merida
蒙克洛瓦	Monk Lova
蒙特雷	Monterey
莫雷利亚	Morelia
墨西哥城	Mexico City
墨西卡利	Mexicali
诺加莱斯	Nogales
帕丘卡	Pachuca
普埃布拉	Puebla
奇尔潘辛戈	Chilpancingo
奇瓦瓦	Chihuahua
切图马尔	Chetumal
萨尔蒂约	Sal Dieu
萨卡特卡斯	Zacatecas
塞拉亚	Zelaya
圣路易斯波托亚	San Bo Toya
塔帕丘拉	Tapachu La
坦皮科	Tampico
特拉斯卡拉	Tlaxcala
特皮克	Twitpic
特瓦坎	Tehuacan
图斯特拉-古铁雷斯	Tuxtla Gutierrez
托雷翁	Torreon
托卢卡	Toluca
瓦哈卡	Oaxaca
维多利亚城	The city of Vitoria
韦拉克鲁斯	Vera Cruz
乌鲁阿潘	Houlou Apen
新拉雷多	Nuevo Laredo
伊拉普阿托	Illapu Ato
纳米比亚	Namibia
埃龙戈	Erongo
奥汉圭纳	Ohangwena
奥卡万戈	The Okavango
奥马赫科	Omar Herko
奥姆沙蒂	Aomushadi
奥乔宗蒂约巴	Ojozon Siti Yoba
奥沙纳	Oshana
奥希科托	Ossie Coto
哈达普	Hadap
霍马斯	M. Homais.
卡拉斯	Callas
卡普里维	Caprivi
南非	South Africa
阿平顿	Upington
艾利弗山	Ayliff
彼德马里茨堡	Peter Marie F Bo
彼德斯堡	Petersburg
比勒陀利亚	Pretoria
比索	The peso
布雷达斯多普	Bray Das Dop
布隆方丹	Bloemfontein
布隆克斯特斯普利特	Bulongkesitesipulite
德阿尔	Deal
德班	Durban
邓迪	Dundee
东巴克利	East Barkley
东伦敦	East London
弗雷堡	Freiburg
弗里尼欣	Vereeniging
格罗布莱斯达尔	Grob Les Dahl
基雅尼	Kiyani
金伯利	Kimberley
开普敦	Cape Town
克莱克斯多普	Clarke J Dop
库鲁曼	Kuruman
昆士敦	Queenstown
莱迪史密斯	Laidi Smith
兰德方丹	Lan Defangdan
理查兹湾	Richards Bay
利斯滕堡	Lisitengbao
姆库泽	Mkuze
穆里斯堡	Moorreesburg
内尔斯普雷特	Nelspruit
尼尔斯特隆	Neil Strong
乔治	George
萨索尔堡	Sasolburg
瑟孔达	Sekongda
特克索波	Ixopo
特隆普斯堡	Trompsburg
跳羚	Springbok
图拉马哈谢	Tuula Maha Semyon
托霍延杜	Toho Jan Du
韦茨肖克	Weitz shocr
韦尔科姆	Weir Kome
乌伦迪	Urundi
乌姆塔塔	Umm Tata
西博福特	The Ford
谢普斯通港	Port Shepstone
伊丽莎白港	Port Elizabeth
约翰内斯堡	Johannesburg
南极洲	Antarctica
南乔治亚和南桑德威奇群岛	South Georgia and the South Sandwich Islands Sander
瑙鲁	Nauru
尼泊尔	Nepal
巴格马蒂	The Baghmati
道拉吉里	Dora Jiri
甘达基	Gan Daji
戈西	Koshi
格尔纳利	Goerne Leigh
贾纳克布尔	Janakpur
拉布蒂	Raby
蓝毗尼	Lumbini
马哈卡利	Maha Kari
梅吉	Mei Ji
纳拉亚尼	Narayan Ni
佩里	Perry
萨加玛塔	Sacca Marta
塞蒂	Sethi
尼加拉瓜	Nicaragua
埃斯特利	Estelle
北大西洋	The North Atlantic
博阿科	Boaco
格拉纳达	Granada
卡拉索	Carazo
里瓦斯	Rivas
马德里斯	Madriz
马那瓜	Managua
马萨亚	Masaya
马塔加尔帕	Mata Gal Pa
南大西洋	Southern the Atlantic
奇南德加	Keenan Pedja
琼塔莱斯	Joan Kobita Les
圣胡安河	San Juan
希诺特加	Synnott Fagafaga
新塞哥维亚	Nueva Segovia
尼日尔	Niger
阿加德兹	Agades
迪法	Madame
蒂拉贝里	Teela Berry
多索	Dosso
津德尔	Zinder
马拉迪	Maradi
尼亚美市	The city of Niamey
塔瓦	Vltava
尼日利亚	Nigeria
阿比亚	Abia
奥博莫绍	Orb Mo Sao
卡诺	Kano
拉各斯	Lagos
伊巴丹	Ibadan
纽埃	Niue
挪威	Norway
阿克什胡斯	Akshay Hus
奥普兰	Oppland
奥斯陆市	The city of Oslo
北特伦德拉格	The Nord Trondelag
布斯克吕	Busk Lui
东阿格德尔	Don Aage Del
东福尔	Stfold
芬马克	Finnmark
海德马克	Hyde Mark
霍达兰	Huo Dalan
罗加兰	Luo Jialan
默勒－鲁姆斯达尔	Moeller rum Starr
南特伦德拉格	Nantes's rugby
诺尔兰	Nordland
松恩－菲尤拉讷	Sogn og fjordane
泰勒马克	Taylor Mark
特罗姆斯	Troms
西阿格德尔	Sia Geder
西福尔	The Vestfold
帕劳群岛	Palau
皮特凯恩	Pitcairn
葡萄牙	Portugal
滨海阿连特茹	Alentejo Litoral
滨海皮尼亚尔	Binhaipiniyaer
波尔图	Oporto
杜罗	Du Luo
恩特拉杜罗伏日	En Teladuluofuri
法鲁	Faro
丰沙尔	Funchal
卡瓦多	Cavador
科瓦贝拉	Cova Bela
里斯本	Lisbon
利巴特茹	Leigh Bart Ru
梅地奥特茹	Meidiaoteru
米尼奥-利马	Minho - Lima
内贝拉北	Beira interior Norte
内贝拉南	Beira interior Su
内皮尼亚尔北	Neipiniyaerbei
内皮尼亚尔南	Neipiniyaernan
蓬塔德尔加达	Ponta Delgada
塞图巴尔半岛	Saito Barr Peninsula
山后	The mountain
上阿连特茹	Alto Alentejo Province
上特拉斯山	On the Atlas Mountains
塔梅加	Tamega
万福	Wanfu
下阿连特茹	Lower Alentejo
下伏日	The underlying day
下蒙德古	Lower Mondego
中阿连特茹	Alentejo Central
乔治亚	Georgia
日本	Japan
爱媛	Ai Yuan
爱知	Aichi
北海道	Hokkaido
兵库	Hyogo
冲绳	Okinawa
茨城	Ibaraki
大阪	Osaka
大分	Oita
岛根	Shimane
徳岛	Tokushima
东京	Tokyo
福岛	Fukushima
福冈	Fukuoka
福井	Fukui
富山	Toyama
冈山	Okayama
高知	Kochi
宮城	Gong Cheng
宫崎	Miyazaki
广岛	Hiroshima
和歌山	Wakayama
京都	Kyoto
静冈	Shizuoka
枥木	Tochigi
鹿儿岛	Kagoshima
奈良	Nara
鸟取	Tottori
岐阜	Gifu
埼玉	Saitama
千叶	Chiba
青森	Aomori
秋田	Akita
群马	Gunma
三重	Triple
山口	Pass
山梨	Yamanashi
山形	Yamagata
神奈川	Kanagawa
石川	Ishikawa
香川	Kagawa
新潟	Niigata
熊本	Xiongben
岩手	Iwate
长崎	Nagasaki
长野	Nagano
滋贺	Shiga
佐贺	Saga
瑞典	Sweden
北博滕	Norrbotten
布莱金厄	Blacking Maher
达拉纳	Dalarna
东约特兰	Sterg tland at the height of
厄勒布鲁	Orebro
哥得兰	Gotland
哈兰	Haran
卡尔马	Kalmar
克鲁努贝里	Crew Nur Berry
南曼兰	Nan Manlan
斯德哥尔摩	Stockholm
斯科耐	Si Kenai
韦姆兰	Wei Mulan
乌普萨拉	Uppsala
西博滕	Dorotea
西曼兰	Xi Manlan
西诺尔兰	V sternorrland
西约特兰	Vstergtland
延雪平	Yan Xueping
耶夫勒堡	Gavleborg
耶姆特兰	Yam Tran
瑞士	Switzerland
阿尔高	Argaw
巴塞尔城市	Basel City
巴塞尔乡村	Rural Basel
伯尔尼	Bern
楚格	Chu Ge
弗里堡	Fribourg
格拉鲁斯	Guerra Ruth
格劳宾登	Grau Bindon
卢塞恩	Luzern
洛桑	Lausanne
纳沙泰尔	Neuchatel
内阿彭策尔	Hei Appen Che M
日内瓦	Geneva
汝拉	The Jura
沙夫豪森	Schafhausen
上瓦尔登	Obwalden
圣加仑	St Gallen
施维茨	Schwyz
苏黎世	Zurich
索洛图恩	Solo Thun
提契诺	Ticino
图尔高	Thurgau
瓦莱	Anderson
外阿彭策尔	Appenzell ausserrhon
沃	Wo
乌里	URI
下瓦尔登	Nidwalden
萨尔瓦多	Salvatore
阿波帕	Apopa
阿瓦查潘	Aava Chapa
查拉特南戈	Char Larter Nango
德尔加多	Delgado
基埃-恩特姆	Jiai - NTEM
卡瓦尼亚斯	Cabanas
库斯卡特兰	Kustka Tran
拉乌尼翁	La Uni Von
梅基卡诺斯	Mekki Canose
莫拉桑	Morazan
圣安娜	Santa Ana
圣米格尔	San Miguel
圣萨尔瓦多	San Salvador
圣维森特	San Vicente
松索纳特	Song Alfonso Nat
索亚潘戈	Soya Pam Gore
韦莱-恩萨斯	Willis - en Texas
乌苏卢坦	Wusu Lou Staw
伊洛潘戈	Ehlo Pam Gore
中南	South Africa
萨摩亚	Samoa
塞尔维亚	黑山	Serbia	 Montenegro
贝尔格莱德	Belgrade
波德戈里察	Bo Dego Richard
克拉古涅瓦茨	Cola Gu Neva F
尼什	NIS
诺维萨德	Novi Sad
普里什蒂纳	Pristina
苏博蒂察	Subotic Ca
泽蒙	Zemun
塞拉利昂	Sierra Leone
西部区	The western region
塞内加尔	Senegal
达喀尔	Dakar
法蒂克	Fatic
济金绍尔	Zi Kim Sauer
捷斯	Thies
久尔贝勒	Ju M Belle
考拉克	Karak
科尔达	Korda
卢加	Lu Jia
马塔姆	Matam
圣路易	St. Louis
坦巴昆达	Tamba Kunda
塞浦路斯	Cyprus
法马古斯塔	Famagusta
凯里尼亚	Kyrenia
拉纳卡	Larnaca
利马索尔	Limassol
尼科西亚	Nicosia
帕福斯	Paphos
塞舌尔	The Seychelles
沙特阿拉伯	Saudi Arabia
阿尔阿尔	Al Al
艾卜哈	Abha
巴哈	Baja
布赖代	Buraydah
达曼	Dammam
哈费尔巴廷	Ha Phil Battin
哈伊勒	Hail
海米斯穆谢特	Hamish Mu Semyon Te
海耶	Haye
胡富夫	Hu Fufu
吉达	Jeddah
吉赞	Jizan
利雅得	Riyadh
麦地那	Medina
麦加	Mecca
姆巴拉兹	Mba Raz
纳季兰	Najran
塞卡卡	Saikaka
塔布克	Tabuk
塔伊夫	Taif
延布	Yanbu
朱拜勒	Jubail
圣诞岛	Christmas Island
圣多美和普林西比	Sao Tome and Principe
圣赫勒拿	Saint Helena
圣基茨和尼维斯	Saint Kitts and Nevis
圣卢西亚	Saint Lucia
圣马力诺	San Marino
圣皮埃尔和米克隆群岛	San Pierre and meters clone Islands
圣文森特和格林纳丁斯	Saint Vincent and the Grenadines
斯里兰卡	Sri Lanka
阿努拉德普勒	Anuradhapura
安帕赖	Ampara
巴杜勒	Badulla
拜蒂克洛	Bai Siti Chloe
波隆纳鲁沃	Polonnaruwa
汉班托特	Han Ben Toth
基里诺奇	Kilinochchi
加勒	Galle
加姆珀哈	Gampe Ha
贾夫纳	Jaffna
卡卢特勒	Kalou Teller
凯格勒	Kaigler
康提	Kang Ti
科伦坡	Colombo
库鲁内格勒	Kuru Naegele
拉特纳普勒	Ratner Poole
马纳尔	Mannal
马特莱	Matale
马特勒	Mattle
莫讷勒格勒	Moneragala
穆莱蒂武	Mulady Vu
努沃勒埃利耶	Nuovo Le Eli Jerzy
普塔勒姆	Ptah Le M
亭可马里	Trincomalee
瓦武尼亚	Vavuniya
斯洛伐克	Slovakia
班斯卡-比斯特里察	Banska Bystrica
布拉迪斯拉发	Bratislava
科希策	Kosice
尼特拉	Nitra
普雷绍夫	Poulet Sao J
日利纳	Zilina
特尔纳瓦	Ter Nava
特伦钦	Trencin
斯洛文尼亚	Slovenia
奥巴尔诺-克拉	Austrian Barnouw - carat
奥斯雷德涅斯洛文	Aus Reid Niesloven
波德拉夫	Bode Ralph
波穆尔	Pomul
多雷尼	Reni
戈雷尼	Goleni
戈里	Gori
科洛	Colo
诺特拉尼	Nott Rani
萨维尼	Savigny
斯波德涅波萨夫	Spodne Bo Saif
扎萨夫	Zhasafu
斯瓦尔巴和扬马廷	J Val Ba and Yang Ma Ting
斯威士兰	Swaziland
苏丹	Sultan
赤道	The equator
达尔富尔	Darfur
加扎勒河	Bahr
喀土穆	Khartoum
科尔多凡	Kerr do Van
上尼罗	On the Nile
苏里南	Suriname
布罗科蓬多	Brokopong do
科罗尼	Rroney
科默韦讷	Comer Vee Ne
马罗韦讷	Mauro Vee Ne
尼克里	Nicky
帕拉马里博	Paramaribo
萨拉马卡	Salama C
瓦尼卡	Vanica
西帕里韦尼	Si Parry Wayne
所罗门群岛	Solomon Islands
瓜达尔卡纳尔	Guadalcanal
霍尼亚拉	Honiara
拉纳尔和贝罗纳	Rennell and Bellona
马基拉	Makira
马莱塔	Maleta
乔伊索	Qiaoyisuo
泰莫图	Temotu
伊萨贝尔	Isabel
中部群岛	Central islands
塔吉克斯坦	Tajikistan
杜尚别	Dushanbe
霍罗格	Horog
卡尼巴达姆	Carney Badam
科法尔尼洪	Kofarnihon
苦盏	Khujand
库尔干-秋别	Kurgan - Autumn don't
库洛布	Kulob
洛贡	Logone
努雷克	Nurek
彭吉肯特	Pentti Gio Kent
萨班特	Sabant
塔博沙尔	Thabo Schall
图尔孙扎德	Tour Sunzad
乌拉秋别	Wulaqiubie
伊斯法拉	Isfara
泰国	Thailand
安纳乍能	Amnat Charoen
巴蜀	Sichuan
巴吞他尼	Pathum Thani
巴真	Obama really
北碧	Kanchanaburi
北标	North marker
北大年	Pattani
北揽	Just north of
北榄坡	North Slope Rugby
北柳	Bei Liu
碧差汶	Phetchabun
博达伦	Bodalun
猜那	Guess it
猜也奔	Chaiyaphum
程逸	Cheng Yi
春蓬	Chumphon
春武里	Chonburi
达	As
达叻	Trat
大城	The big city
董里	Dong Li
佛丕	Phetchaburi
佛统	Nakhon Pathom
甘烹碧	Gan Pengbi
红统	Red series
华富里	Hua Fuli
加拉信	Kalasin
甲米	Krabi
尖竹汶	Chanthaburi
孔敬	Khon Kaen
拉农	Agricultural
廊开	Nongkhai
廊莫那浦	Langmonapu
叻丕	Ratchaburi
黎	Li
黎逸	Li Yi
龙仔厝	Longzaicuo
罗勇	Luo Yong
洛坤	Luo Kun
玛哈沙拉堪	Maha Sarah Ca
曼谷	Bangkok
莫达汉	Mo Dahan
那空那育	Nakhon Nayok
那空帕农	Nakongpanong
难	Hard
南奔	Lamphun
暖武里	Nonthaburi
帕	PA
帕尧	Pa Yao
攀牙	Phang Nga
彭世洛	Peng Shiluo
披集	Phichit
普吉	Phuket
清莱	Chiang Rai
清迈	Chiang Mai
色军	Our army
沙敦	Satun
沙缴	SA Kaeo
四色菊	Sisaket
宋卡	The song card
素可泰	Sukhothai
素叻	Surat
素林	Surin
素攀武里	Suburi
陶公	Narathiwat
乌隆	Udon
乌泰他尼	Uteta Ni
乌汶	Ubon Ratchathani
武里南	Buri RAM
信武里	Sing Buri
耶梭通	Yesuotong
也拉	Pull
夜丰颂	Mae Hong Son
夜功	Night work
坦桑尼亚	Tanzania
阿鲁沙	Arusha
奔巴北	Pemba North
奔巴南	Pemba South
达累斯萨拉姆	Dar Es Salaam
多多马	Dodoma
基戈马	Kighoma
卡盖拉	Kagera
林迪	Lin Di
鲁夸	Rukwa
鲁伍马	The Rovuma
马腊	Ma La
曼亚拉	Manyala
莫洛戈罗	Mollo Gro
姆贝亚	Mbella
姆特瓦拉	M Thwala
姆万扎	Mwanza
乞力马扎罗	Kilimanjaro
桑给巴尔	Zanzibar
桑给巴尔北	Sanggeibaerbei
桑给巴尔南	Sanggeibaernan
桑给巴尔市和西	Sanggeibaershihexi
塔波拉	Tapola
坦噶	Tanga
辛吉达	Singida
欣延加	Xin Yanjia
伊林加	Yi Linjia
汤加	Tonga
埃瓦	EWA
哈派	Ha pie
纽阿斯	Newas
汤加塔布	Tonga Tab
瓦瓦乌	Wawau
特克斯和凯克特斯群岛	The Turks and Kaiketesi Islands
特里斯坦达昆哈	Tristan was Kunha
特立尼达和多巴哥	Trinidad and Tobago
突尼斯	Tunisia
艾尔亚奈	Al Viane
巴杰	Badger
本阿鲁斯	Ben Arous
比塞大	Bizerte
吉比利	Giinobily
加贝斯	Jabez
加夫萨	Gafsa
坚杜拜	Jendouba
卡夫	Kraft
卡塞林	Casselin
凯鲁万	Kairouan
马赫迪耶	Mahdia
马努巴	Manuba
梅德宁	Mei Dening
莫纳斯提尔	Mona Stier
纳布勒	Nabeul
斯法克斯	Sfax
苏塞	Sousse
泰塔温	Tatawin
托泽尔	Tozer
西迪布济德	Sidi Buzzy de
锡勒亚奈	Siliana
宰格万	Zai Gewan
图瓦卢	Tuvalu
土耳其	Turkey
阿达纳	Adana
阿德亚曼	Ade Ayman
阿尔达罕	Aerdahan
阿尔特温	Al Thwin
阿菲永	Afyon
阿克萨赖	AKSARAY
阿勒	Alle
阿马西亚	Amasya
埃迪尔内	Edirne
埃尔津詹	El Zincan
埃尔祖鲁姆	Erzurum
埃拉泽	Elaze
埃斯基谢希尔	Aars Ki Semyon Hill
艾登	Aydin
安卡拉	Ankara
安塔利亚	Antalya
奥尔杜	Ordu
巴尔腾	Bartestein
巴勒克埃西尔	Ba Leke E Sill
巴特曼	Bartman
巴伊布尔特	Bai Burt
比莱吉克	Pillai Girke
比特利斯	Bitlis
宾格尔	Bingle
博卢	Bolu
布尔杜尔	Bull Toure
布尔萨	Bursa
昌克勒	Chankler
代尼兹利	Denizli
迪亚巴克尔	Diyarbakir
凡	All
哈卡里	Hakari
哈塔伊	Hatay
基利斯	Kilis
吉雷松	Ji Leisong
加济安泰普	Gaziantep
居米什哈内	Gu Hamish Hahne
卡尔斯	Kars
卡赫拉曼马拉什	Cachola Man Marash
卡拉比克	Karabuk
卡拉曼	Karaman
卡斯塔莫努	Carsten Monu
开塞利	Kayseri
科贾埃利	Koca Eli
柯克拉雷利	Kirk Gray Leigh
科尼亚	Konya
克尔谢希尔	Kerr Semyon Hill
克勒克卡莱	Clerc Calle
拉飞	Pull
里泽	Rize
马尔丁	Maltin
马拉蒂亚	Mara Tia
马尼萨	Manisa
穆拉	Mora
穆什	Mu Shen
内夫谢希尔	Neff Semyon Hill
尼代	Nigde
恰纳卡莱	Canakkale
乔鲁姆	Corum
屈塔希亚	Kutahya
萨卡里亚	Saka Rya
萨姆松	Samsun
泰基尔达	Tekirdag
特拉布宗	Trabzonspor
通杰利	Tungel
托卡特	Tokat
乌萨克	Wusake
锡尔纳克	Xiernake
锡尔特	Sirte
锡诺普	Sinop
锡瓦斯	Sivas
伊迪尔	Idir
伊切尔	ICEL
伊斯帕尔塔	Isparta
伊斯坦布尔	Istanbul
伊兹密尔	Izmir
约兹加特	Yuz Garet
宗古尔达克	Zon Gul Dark
土库曼斯坦	Turkmenistan
阿哈尔	Akhal
阿什哈巴德市	The city of Ashkhabad
巴尔坎	Balkan
达沙古兹	Darshan Gu Azee
列巴普	Lebap
马雷	Ma Lei
涅比特达格	Nebitdag
托克劳	Stockerau
瓦利斯和福图纳	Wallis and Futuna
瓦努阿图	Vanuatu
马朗帕	Malampa
彭纳马	Peng Nama
桑马	Sanma
塔菲阿	Tafia
托尔巴	Tolba
谢法	Xie Fa
危地马拉	Guatemala
埃尔普罗格雷索	El Plo Kreso
埃斯昆特拉	Aars Quintela
塞尔维亚	黑山	Serbia	 Montenegro
胡蒂亚帕	Huw Tia Pa
基切	Quiche
克萨尔特南戈	J Salter Nango
雷塔卢莱乌	Rita Lule U
米克斯科	Mikesike
佩滕	The pet é n
奇基穆拉	Chi Kimeu La
奇马尔特南戈	Chi Malte Nango
萨卡帕	Zacapa
萨卡特佩克斯	Sakatepeikesi
上韦拉帕斯	Vera Paz
圣马科斯	San Marcos
苏奇特佩克斯	Sue Bridget Perks
索洛拉	Solola
托托尼卡潘	Tor Tony Caplan
韦韦特南戈	Vee Waite Nango
下韦拉帕斯	Vera Paz
新城	Metro
伊萨瓦尔	Issa Val
维尔京群岛，美属	Virgin Islands	 American
维尔京群岛，英属	Virgin Islands	 British
委内瑞拉	Venezuela
阿拉瓜	Aragua
阿马库罗三角洲	The Orinoco Delta
阿普雷	Apre
安索阿特吉	AnseI Art Gio
巴里纳斯	Barinas
波图格萨	Pottu G Sa
法尔孔	Falcon
瓜里科	Guarico
加拉加斯	Caracas
塞尔维亚	黑山	Serbia	 Montenegro
卡拉沃沃	Carabobo
科赫德斯	Koch Des
拉腊	Lara
联邦属地	The federal territory
米兰达	Miranda
莫纳加斯	He
苏利亚	Zulia
塔奇拉	Tachira
特鲁希略	Trujillo
新埃斯帕塔	Nueva Esparta
亚拉奎	Yaracuy
文莱	Brunei
乌干达	Uganda
阿鲁阿	Arua
阿帕克	Apak
阿朱马尼	Arju Mani
本迪布焦	Bundibugyo
布吉里	Bugiri
布西亚	Boothia
布谢尼	Buseni
恩通加莫	Don Tongia Mo
古卢	Gulu
霍伊马	Hoima
基巴莱	Kibale
基博加	Kiboga
基恩乔乔	Kean Jojo
基索罗	Kisoro
基特古姆	Kit Gu M
金贾	Jin Jia
卡巴莱	Cabaret
卡巴罗莱	Caballo Eli
卡贝拉马伊多	Cabet Rama Ido
卡兰加拉	Kalanga La
卡姆文盖	Cam Vin Guy
卡穆利	Camuli
卡农古	Kanungu
卡普乔鲁瓦	Kapp Jo Lou Wa
卡塞塞	Cassese
卡塔奎	Katakwi
卡永加	Kayunga
坎帕拉	Kampala
科蒂多	Kotido
库米	Kumi
拉卡伊	Rakai
利拉	Delilah
卢韦罗	Lu Weiluo
鲁昆吉里	Lou Quinn Jiri
马萨卡	Masaka
马辛迪	Masindi
马尤盖	Ma Yougai
莫罗托	Moroto
莫约	Moyo
姆巴拉拉	Mba Lara
姆巴莱	Bale
姆皮吉	Mpigi
穆本德	Mu Bende
穆科诺	Mukono
纳卡皮里皮里特	Nakar Pirie Pirie Te
纳卡松戈拉	Nakar Songo La
内比	Internal ratio
帕德尔	Padel
帕利萨	Pallisa
森巴布莱	Sembabule
索罗提	Soroti
托罗罗	Tororo
瓦基索	Wakiso
锡龙科	Sironko
伊甘加	Iganga
永贝	Yumbe
乌克兰	Ukraine
敖德萨	Odessa
波尔塔瓦	Poltava
第聂伯罗波得罗夫斯克	Dnipropetrovska
顿涅茨克	Donetsk
哈尔科夫	Kharkov
赫尔松州	The state of Kherson
赫梅利尼茨基	Beh Melli Nitsch Ki
基辅	Kiev
基洛夫格勒	Kirov Glenn
捷尔诺波尔	Tier Arnaut Pohl
克里米亚自治共和国	The Autonomous Republic of Crimea
利沃夫	Lviv
卢甘斯克	Lugansk
罗夫诺	Luo Funuo
尼古拉耶夫	Nicolaev
切尔卡瑟	Cheel Kaser
切尔尼戈夫	Chernigov
切尔诺夫策	Chernivtsi
日托米尔	Zhitomir
苏梅	Sumy
外喀尔巴阡	The outer Carpathian
文尼察	Vinnitsa
伊万－弗兰科夫州	Ivan Franco Rostov State
扎波罗热	Za Bo Roger
乌拉圭	Uruguay
阿蒂加斯	Artigas
杜拉斯诺	Dula Snow
弗洛雷斯	Flores
卡内洛内斯	Kane Rene J
科洛尼亚	Colonia
拉瓦耶哈	La Vayer Ha
里韦拉	Rivera
罗恰	Luo Qia
马尔多纳多	Maldonado
蒙得维的亚	Montevideo
内格罗河	The Negro
派桑杜	Paysandu
萨尔托	Sarto
塞罗拉尔戈	Cerro Largo
三十三人	Thirty-three people
索里亚诺	Soriano
塔夸伦博	Tacuarembo
乌兹别克斯坦	Uzbekistan
安集延	An Jiyan
布哈拉	Bukhara
费尔干纳	Fergana
花拉子模	Khorezm
吉扎克	Dzhizak
卡拉卡尔帕克斯坦共和国	Qaraqalpaqstan Respublikasy
卡什卡达里亚	Kaska Daria
纳曼干	Na Mangan
纳沃伊	Navoiy
撒马尔罕	Samarkand
苏尔汉河	Surxondaryo
塔什干	Tashkent
